time_s,y,y_error,is_laminar
5.059999999999999609e+00,-1.272664122812662946e+00,9.225106693619852805e-03,0.000000000000000000e+00
1.016000000000000014e+01,-1.368952886083403486e+00,1.045308235162056149e-02,0.000000000000000000e+00
1.526999999999999957e+01,-1.467340455306808344e+00,1.183775001310585252e-02,0.000000000000000000e+00
2.035999999999999943e+01,-1.570708698586975816e+00,1.344927827001355172e-02,0.000000000000000000e+00
2.546999999999999886e+01,-1.675964901118898176e+00,1.527347211941199739e-02,0.000000000000000000e+00
3.057999999999999829e+01,-1.784062449255159777e+00,1.736103398664199174e-02,0.000000000000000000e+00
3.564999999999999858e+01,-1.892564168350020726e+00,1.969943490114824808e-02,0.000000000000000000e+00
4.075000000000000000e+01,-2.003342198141188746e+00,2.236709098777717522e-02,0.000000000000000000e+00
4.582999999999999829e+01,-2.117115729909360144e+00,2.543613128483211000e-02,0.000000000000000000e+00
5.093999999999999773e+01,-2.231848541902267336e+00,2.890926610253499729e-02,0.000000000000000000e+00
5.607000000000000028e+01,-2.344549292093077941e+00,3.273503481463082426e-02,0.000000000000000000e+00
6.113000000000000256e+01,-2.460617533443499649e+00,3.715599727375629158e-02,0.000000000000000000e+00
6.621999999999999886e+01,-2.584110527634294385e+00,4.246211377318438729e-02,0.000000000000000000e+00
7.134000000000000341e+01,-2.696269367071060685e+00,4.788606532154756484e-02,0.000000000000000000e+00
7.650000000000000000e+01,-2.817709157520250862e+00,5.448981186672414989e-02,0.000000000000000000e+00
8.162999999999999545e+01,-2.933394228143635818e+00,6.157454957790065020e-02,0.000000000000000000e+00
8.671999999999999886e+01,-3.056706281037521400e+00,7.008799579105212674e-02,1.000000000000000000e+00
9.187000000000000455e+01,-3.177585555930585226e+00,7.951920197856320038e-02,1.000000000000000000e+00
9.698999999999999488e+01,-3.304347555672237480e+00,9.071582299741624833e-02,1.000000000000000000e+00
1.020799999999999983e+02,-3.408787550928831234e+00,1.010705134459652932e-01,1.000000000000000000e+00
1.071299999999999955e+02,-3.542146549630877939e+00,1.159677140869221634e-01,1.000000000000000000e+00
1.121700000000000017e+02,-3.660708577147239851e+00,1.309889853175311425e-01,1.000000000000000000e+00
1.172500000000000000e+02,-3.775630380522591256e+00,1.473526105093260208e-01,1.000000000000000000e+00
1.223599999999999994e+02,-3.906292330719161043e+00,1.683928138760851234e-01,1.000000000000000000e+00
1.274399999999999977e+02,-4.030646528616747659e+00,1.911400878498997480e-01,1.000000000000000000e+00
1.325200000000000102e+02,-4.173425268859445758e+00,2.209970683282201365e-01,1.000000000000000000e+00
1.376299999999999955e+02,-4.270420602678324684e+00,2.438537365318835248e-01,1.000000000000000000e+00
1.426699999999999875e+02,-4.416911036527383594e+00,2.828633196751308421e-01,1.000000000000000000e+00
1.477800000000000011e+02,-4.499326461816393063e+00,3.074567263507366199e-01,1.000000000000000000e+00
1.528899999999999864e+02,-4.637637376125592681e+00,3.535699564611560763e-01,1.000000000000000000e+00
1.579900000000000091e+02,-4.798703169015035463e+00,4.159592874653841865e-01,1.000000000000000000e+00
1.630900000000000034e+02,-4.922896379788248566e+00,4.714170056755905835e-01,1.000000000000000000e+00
1.681699999999999875e+02,-4.991403932168368307e+00,5.050879361707134585e-01,1.000000000000000000e+00
1.732800000000000011e+02,-5.144583266605994964e+00,5.892656680844297057e-01,1.000000000000000000e+00
1.783799999999999955e+02,-5.325932533581010375e+00,7.071151450361999879e-01,1.000000000000000000e+00
